lfq_intensity_lean_1	lfq_intensity_lean_2	lfq_intensity_lean_3	lfq_intensity_lean_4	lfq_intensity_ob_1	lfq_intensity_ob_2	lfq_intensity_ob_3	lfq_intensity_ob_4
Cyp8b1	30.989564050982	30.6246880653307	30.5994458143044	30.6506205056444	30.7356994394202	30.3161507701755	30.4079099207646	30.3481859551333
Acad8	32.4320262428399	32.7187041794735	32.6275610078934	31.6275679921222	31.7078240362943	31.9442815132212	32.5564632278883	32.2888007139405
Parn	26.5481207140701	26.2621908023523	26.4598264147537	26.5380580739104	27.310829566913	27.3879458639648	26.6366011414441	25.7654765293149
Slc22a18	30.2638461811816	30.1528502197707	29.9496254507213	30.4508145935523	29.5674330652543	30.0890526850278	29.9717883379214	29.4323950678213
Trim56	26.368007137993	26.904471729325	26.7221801116811	27.3579571025004	27.0119199158844	27.1281928239785	26.0983792043365	26.7347090727663
Cog7	27.0456540911157	26.8109021329688	27.0554180741278	27.191498829413	26.8581248094042	26.528713638106	27.259763623383	27.3665039731731
Vamp8	29.2678718443227	29.3109941863224	28.901120802395	28.9499085693408	28.7823250976743	27.9828625768481	28.2310507910906	28.1761474822054
Cdc42ep1	27.2495375070044	27.09166770381	27.501759654603	26.0703092708598	25.8582947192635	26.3688987330639	27.0185729627558	27.1286271831402
Uaca	26.4977869446274	23.3202190088637	26.14829608094	24.7911393201545	26.6299472944461	28.6025900076691	26.4034751692664	25.9658995452388
Ikbkb	27.4272702322133	27.4584235708731	27.0502138247289	27.1694763401945	27.4412398855881	27.0248932090119	27.3146663493451	27.1845219121808
Arfgap3	27.2484223720232	27.4762244910302	27.0950502309209	28.0848629289344	27.8526416962062	27.7040456654803	27.3070662349195	26.9510810553727
Ppp4r2	27.2311208802436	27.1857164661243	27.3461725704596	27.1784309078602	27.580224497125	27.4949167705483	26.9854139145424	26.5505794998055
Abcd2	23.8427772575519	24.217103615994	25.8826826885808	25.275841179896	29.5062085057066	30.5003902896444	30.3341399723552	30.8387113666881
Commd5	26.8063006728739	27.2969577704759	26.9089271296197	25.5833007524693	24.670443558571	26.8343655006226	27.4787102679602	26.5354444677069
Trmt1l	27.1246463533081	27.1068619828241	27.2900488348221	27.6230349469486	26.583151002857	27.2074051771807	26.9069460972578	26.8560056983908
Polr2a	28.2081925128316	28.0378303814044	28.2394585438762	28.5224376564245	28.6172799770768	29.0011310141799	27.9589169026695	27.8324123343084
Lrrc40	27.3631982714359	26.6468917515811	26.8590296349596	27.8946852903298	27.9513746087574	27.7825584884128	26.8504645958357	26.7278163594527
Alas1	26.3472364516479	26.7349023697186	26.3183979192369	26.9397256814757	26.0954016604336	26.0956812945798	26.8282756183157	26.8043811559115
Pdia4	33.959083561556	34.2319392393666	33.9907620543207	33.7725729509437	33.0370479026362	33.1289335555866	33.3801601268135	33.350242023746
Slc4a2	24.9720101086813	24.8524906121787	25.3477095943164	25.6765080943748	26.081868975735	24.6987184143062	24.7298441338162	24.9046236943021
Dab2	27.087717572708	27.0499064748	26.8473223828447	27.0644563416159	27.0743964485302	26.9880714197989	26.1132871404692	26.6654132960822
Apeh	31.7118473635971	31.7060544637954	31.7428464906232	32.1323707465506	31.7407466121464	31.1741928290956	31.8852500638113	31.9440423454182
Dio1	27.2996557517268	27.9901656277287	27.6760594030147	25.6413299352602	23.7284697259315	26.4794410234826	27.5215715665662	27.1337512180504
Myo7a	25.1000056890137	26.7218153539273	26.6879964506148	28.2483031513943	26.4774512916965	24.7777050927716	27.2262914742625	27.1909580726754
Srpk2	24.1719293412967	23.7147313029742	23.5912749688503	25.35753294346	24.3757465610569	26.0443067129337	24.6212542387899	25.5461109714269
Btd	27.5341078895227	27.5918383956072	27.9072981066723	28.2741291559392	28.3112297187166	28.5394358081622	27.2342316616785	26.6267118401549
Selenbp2	36.5041468145752	36.6253515153764	36.3486706339723	33.9501212787302	33.2881424426846	32.9459361033816	34.5091772881887	34.7615104299478
Srd5a1	28.3681601864476	29.3140319517192	29.0126320898647	28.176812245626	28.4043570683843	28.2509725841366	27.5806463280763	27.9498452729408
Arsb	26.1427821327204	26.3731670155769	26.8287136762964	27.4036424998994	24.8693981580911	25.6841528221693	26.1358950405685	26.0488371058754
Cluh	32.5673968283322	32.5480392708572	32.3912611132109	32.6199520625048	32.1625807749266	31.9462937665659	32.2200695977872	32.4627444386124
Smarca4	27.4202715083032	27.6740449852567	27.5095224434556	28.1548919403461	27.8371451786002	28.4780205761132	27.5376706214874	27.5779075290562
Ecsit	29.1569394433289	28.4814616745586	28.5446670515573	28.7711596062805	28.8632454980516	28.5761627116896	28.573667182732	28.0956688132354
Xrcc6	27.6187700206027	27.8180013408754	27.9525508093015	28.2293088998127	28.1849788612779	28.4345525764617	28.3111868855924	27.8852254247694
Rprd1b	27.9243920574317	28.0333148146878	28.0967112864548	28.1484015945787	27.6157065806536	26.6207770297972	27.9149680936644	27.1170577433885
Atpaf2	28.0656140773109	28.0520188703082	27.9670058126759	27.9678021107333	24.0399165475113	24.7260652391401	27.7964471976791	28.151555972801
Dbn1	25.5909849773772	24.4453176830235	25.6364140912543	26.2627868414178	26.5730949029517	26.5437198652652	26.4247227602247	26.7906860089246
Smoc1	26.147411105575	25.9866515675753	26.0805379512585	26.2175216698332	26.8106722406333	26.0653984111995	26.4556521546197	26.4768409204319
Tatdn1	26.9383218985038	27.1576305798156	26.9865885048483	26.6730942061199	26.4180408102025	27.5223503844187	26.8624817433237	26.3756642673743
Erlin1	28.1029339469761	27.9012938466059	28.2606479911232	27.9271164271984	27.8305965884226	27.7123904163239	27.9381358785089	27.693867921985
Glyctk	31.6539998202007	31.9380447029901	31.530549855001	30.9059736994494	31.148139091374	31.0707687863389	31.9532936757528	31.8944283230366
Nup210	28.9361368958835	28.9553028895145	28.9163730332847	28.8225941167929	28.1276920697801	28.4014707503583	28.1494568678243	28.3844395819751
Pnkd	27.6356492225687	27.1922999823541	27.0598639843849	28.202742716752	27.7274046629508	27.2772269377741	26.7967308872416	26.7777947861959
